Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J24        PTH_MTG400_700    3740.157mil   3740.157mil   3740.157mil   3740.157mil   3740.157mil   3740.157mil  T          0.00 CON_1PIN       
J23        PTH_MTG400_700      196.85mil   3740.157mil     196.85mil   3740.157mil     196.85mil   3740.157mil  T          0.00 CON_1PIN       
J22        PTH_MTG400_700    3740.157mil     196.85mil   3740.157mil     196.85mil   3740.157mil     196.85mil  T          0.00 CON_1PIN       
J2         SMD_CON-CVILUX-CU04-SCM15B0   3771.653mil   1669.291mil    3763.78mil   1669.291mil   3661.417mil   1606.299mil  T         90.00 CON_USB_MINI_1 
J15        PTH_MTG400_700      196.85mil   2165.354mil     196.85mil   2165.354mil     196.85mil   2165.354mil  T          0.00 CON_1PIN       
J14        PTH_MTG400_700    2165.354mil   2165.354mil   2165.354mil   2165.354mil   2165.354mil   2165.354mil  T          0.00 CON_1PIN       
J13        PTH_MTG400_700    2165.354mil     196.85mil   2165.354mil     196.85mil   2165.354mil     196.85mil  T          0.00 CON_1PIN       
J1         PTH_HDRV05W64P254_1X05   3309.055mil    104.331mil   3309.055mil    104.331mil   3109.055mil    104.331mil  T          0.00 CON_5PINS      
FID2       FID100X200        3818.898mil   3523.622mil   3818.898mil   3523.622mil   3818.898mil   3523.622mil  T          0.00 FIDUCIAL       
FID1       FID100X200         366.142mil     94.488mil    366.142mil     94.488mil    366.142mil     94.488mil  T          0.00 FIDUCIAL       
D9         SMD_0805_LED2012X100N    889.764mil    405.512mil    889.764mil    405.512mil    889.764mil    364.173mil  T         90.00 Yellow SML210YT ROHM
D8         SMD_DO214AC_SMA   3313.328mil   2468.843mil   3313.328mil   2468.843mil   3313.328mil   2390.102mil  T         90.00 D_STKY         
D7         SMD_0805_LED2012X100N    732.283mil    405.512mil    732.283mil    405.512mil    732.283mil    364.173mil  T         90.00 Green  SML210MT ROHM
D6         SMD_SOT457_SOT95P275X110-6N   3267.716mil   1625.984mil   3267.716mil   1625.984mil   3305.118mil    1671.26mil  T        270.00 SMS05T1G       
D5         SMD_0805_LED2012X100N   1047.244mil    405.512mil   1047.244mil    405.512mil   1047.244mil    364.173mil  T         90.00 Red SML210VT ROHM
D4         SMD_0805_LED2012X100N   2988.189mil   1244.094mil   2988.189mil   1244.094mil    2946.85mil   1244.094mil  T          0.00 Orange  SML210DT ROHM
D3         SMD_0805_LED2012X100N   2988.189mil   1322.835mil   2988.189mil   1322.835mil    2946.85mil   1322.835mil  T          0.00 Yellow SML210YT ROHM
D28        SMD_DO214AC_SMC    3377.84mil   3658.134mil    3377.84mil   3658.134mil   3511.698mil   3658.134mil  T        180.00 D_TVS_UNI      
D2         SMD_0805_LED2012X100N   2988.189mil   1165.354mil   2988.189mil   1165.354mil    2946.85mil   1165.354mil  T          0.00 Green  SML210MT ROHM
D17        SMD_0805_LED2012X100N    968.504mil    405.512mil    968.504mil    405.512mil    968.504mil    364.173mil  T         90.00 Orange  SML210DT ROHM
D1         SMD_0805_LED2012X100N   2988.189mil   1086.614mil   2988.189mil   1086.614mil    2946.85mil   1086.614mil  T          0.00 Red SML210VT ROHM
C99        SMD_1210_CAPC3225X270N   2909.449mil    3803.15mil   2909.449mil    3803.15mil   2909.449mil   3862.205mil  T        270.00 100uF          
C96        SMD_1210_CAPC3225X270N    1618.11mil   3440.945mil    1618.11mil   3440.945mil   1677.165mil   3440.945mil  T        180.00 100uF          
C93        SMD_0603_CAPC1608X95N    893.701mil   3299.213mil    893.701mil   3299.213mil    893.701mil   3267.716mil  T         90.00 220nF          
C92        SMD_1210_CAPC3225X270N    1618.11mil   3598.425mil    1618.11mil   3598.425mil   1677.165mil   3598.425mil  T        180.00 100uF          
C9         SMD_0603_CAPC1608X95N   3314.961mil    326.772mil   3314.961mil    326.772mil   3314.961mil    358.268mil  T        270.00 100nF          
C89        SMD_0603_CAPC1608X95N    890.215mil   3096.051mil    890.215mil   3096.051mil    858.719mil   3096.051mil  T          0.00 100nF          
C85        SMD_0603_CAPC1608X95N    890.215mil    3202.35mil    890.215mil    3202.35mil    921.711mil    3202.35mil  T        180.00 10uF           
C8         SMD_0603_CAPC1608X95N   3673.228mil    716.535mil   3673.228mil    716.535mil   3673.228mil    748.032mil  T        270.00 100nF          
C7         SMD_0603_CAPC1608X95N   2925.197mil    629.921mil   2925.197mil    629.921mil   2956.693mil    629.921mil  T        180.00 100nF          
C659       SMD_1210_CAPC3225X279N    787.402mil   2169.291mil    787.402mil   2169.291mil    787.402mil   2110.236mil  T         90.00 220uF          
C656       SMD_1210_CAPC3225X279N     165.48mil   2434.441mil     165.48mil   2434.441mil    106.425mil   2434.441mil  T          0.00 220uF          
C653       SMD_1210_CAPC3225X279N    472.441mil   2169.291mil    472.441mil   2169.291mil    472.441mil   2110.236mil  T         90.00 220uF          
C608       SMD_0603_CAPC1608X95N   3405.512mil   1003.937mil   3405.512mil   1003.937mil   3405.512mil    972.441mil  T         90.00 100nF          
C605       SMD_1210_CAPC3225X270N     539.37mil   3755.905mil     539.37mil   3755.905mil    480.315mil   3755.905mil  T          0.00 100uF          
C604       SMD_0603_CAPC1608X95N   1744.094mil        500mil   1744.094mil        500mil   1744.094mil    531.496mil  T        270.00 100nF          
C602       SMD_1210_CAPC3225X270N     539.37mil   3598.425mil     539.37mil   3598.425mil    480.315mil   3598.425mil  T          0.00 100uF          
C6         SMD_0603_CAPC1608X95N   3673.228mil    523.622mil   3673.228mil    523.622mil   3641.732mil    523.622mil  T          0.00 100nF          
C599       SMD_1210_CAPC3225X270N   2003.937mil   3755.905mil   2003.937mil   3755.905mil   1944.882mil   3755.905mil  T          0.00 100uF          
C596       SMD_1210_CAPC3225X270N   2003.937mil   3598.425mil   2003.937mil   3598.425mil   1944.882mil   3598.425mil  T          0.00 100uF          
C594       SMD_0603_CAPC1608X95N   1637.795mil    614.173mil   1637.795mil    614.173mil   1606.299mil    614.173mil  T          0.00 100nF          
C592       SMD_0805_CAPC2012X145N   3173.228mil   2370.079mil   3173.228mil   2370.079mil   3208.661mil   2370.079mil  T        180.00 10uF           
C58        SMD_0603_CAPC1608X95N   3087.065mil   3096.051mil   3087.065mil   3096.051mil   3055.569mil   3096.051mil  T          0.00 100nF          
C54        SMD_0603_CAPC1608X95N   3087.065mil    3202.35mil   3087.065mil    3202.35mil   3118.561mil    3202.35mil  T        180.00 10uF           
C5         SMD_0603_CAPC1608X95N   3251.968mil    326.772mil   3251.968mil    326.772mil   3251.968mil    358.268mil  T        270.00 100nF          
C47        SMD_1210_CAPC3225X270N   3082.677mil   3440.945mil   3082.677mil   3440.945mil   3141.732mil   3440.945mil  T        180.00 100uF          
C43        SMD_1210_CAPC3225X270N   2350.394mil   3440.945mil   2350.394mil   3440.945mil   2409.449mil   3440.945mil  T        180.00 100uF          
C42        SMD_1210_CAPC3225X270N   2350.394mil   3598.425mil   2350.394mil   3598.425mil   2409.449mil   3598.425mil  T        180.00 100uF          
C41        SMD_1210_CAPC3225X270N   3082.677mil   3598.425mil   3082.677mil   3598.425mil   3141.732mil   3598.425mil  T        180.00 100uF          
C407       SMD_1210_CAPC3225X270N   1271.653mil   3755.905mil   1271.653mil   3755.905mil   1212.598mil   3755.905mil  T          0.00 100uF          
C406       SMD_1210_CAPC3225X270N   1271.653mil   3598.425mil   1271.653mil   3598.425mil   1212.598mil   3598.425mil  T          0.00 100uF          
C405       SMD_1210_CAPC3225X270N    885.827mil   3755.905mil    885.827mil   3755.905mil    944.882mil   3755.905mil  T        180.00 100uF          
C404       SMD_1210_CAPC3225X270N    712.598mil    3803.15mil    712.598mil    3803.15mil    712.598mil   3862.205mil  T        270.00 100uF          
C401       SMD_1210_CAPC3225X279N    897.764mil   2906.881mil    897.764mil   2906.881mil    838.709mil   2906.881mil  T          0.00 220uF          
C400       SMD_1210_CAPC3225X279N    897.764mil   2749.401mil    897.764mil   2749.401mil    838.709mil   2749.401mil  T          0.00 220uF          
C399       SMD_1210_CAPC3225X279N    897.764mil   2591.921mil    897.764mil   2591.921mil    838.709mil   2591.921mil  T          0.00 220uF          
C398       SMD_1210_CAPC3225X279N    629.921mil   2169.291mil    629.921mil   2169.291mil    629.921mil   2110.236mil  T         90.00 220uF          
C397       SMD_1210_CAPC3225X279N    944.882mil   2169.291mil    944.882mil   2169.291mil    944.882mil   2110.236mil  T         90.00 220uF          
C382       SMD_1210_CAPC3225X279N   2362.331mil   2906.881mil   2362.331mil   2906.881mil   2303.276mil   2906.881mil  T          0.00 220uF          
C381       SMD_1210_CAPC3225X279N   2362.331mil   2749.401mil   2362.331mil   2749.401mil   2303.276mil   2749.401mil  T          0.00 220uF          
C377       SMD_1210_CAPC3225X279N   1630.047mil   2906.881mil   1630.047mil   2906.881mil   1570.992mil   2906.881mil  T          0.00 220uF          
C376       SMD_1210_CAPC3225X279N   1630.047mil   2749.401mil   1630.047mil   2749.401mil   1570.992mil   2749.401mil  T          0.00 220uF          
C375       SMD_1210_CAPC3225X279N   1630.047mil   2591.921mil   1630.047mil   2591.921mil   1570.992mil   2591.921mil  T          0.00 220uF          
C374       SMD_1210_CAPC3225X270N   2350.394mil   3755.905mil   2350.394mil   3755.905mil   2409.449mil   3755.905mil  T        180.00 100uF          
C373       SMD_1210_CAPC3225X270N   2177.165mil    3803.15mil   2177.165mil    3803.15mil   2177.165mil   3862.205mil  T        270.00 100uF          
C347       SMD_0603_CAPC1608X95N   2905.512mil    1460.63mil   2905.512mil    1460.63mil   2874.016mil    1460.63mil  T          0.00 1uF            
C32        SMD_1210_CAPC3225X270N   3082.677mil   3755.905mil   3082.677mil   3755.905mil   3141.732mil   3755.905mil  T        180.00 100uF          
C304       SMD_0603_CAPC1608X95N   1212.598mil    582.677mil   1212.598mil    582.677mil   1212.598mil    551.181mil  T         90.00 100nF          
C303       SMD_0603_CAPC1608X95N    791.339mil    582.677mil    791.339mil    582.677mil    791.339mil    551.181mil  T         90.00 100nF          
C30        SMD_0603_CAPC1608X95N   2358.268mil   3299.213mil   2358.268mil   3299.213mil   2358.268mil   3267.716mil  T         90.00 220nF          
C3         SMD_0603_CAPC1608X95N   3673.228mil    444.882mil   3673.228mil    444.882mil   3641.732mil    444.882mil  T          0.00 1nF            
C289       SMD_0603_CAPC1608X95N   1086.614mil    582.677mil   1086.614mil    582.677mil   1086.614mil    551.181mil  T         90.00 100nF          
C276       SMD_1210_CAPC3225X279N   2362.331mil   2591.921mil   2362.331mil   2591.921mil   2303.276mil   2591.921mil  T          0.00 220uF          
C273       SMD_1210_CAPC3225X279N   3082.677mil   2248.032mil   3082.677mil   2248.032mil   3141.732mil   2248.032mil  T        180.00 220uF          
C270       SMD_1210_CAPC3225X279N   2362.331mil   2434.441mil   2362.331mil   2434.441mil   2303.276mil   2434.441mil  T          0.00 220uF          
C267       SMD_1210_CAPC3225X279N   1417.323mil   2169.291mil   1417.323mil   2169.291mil   1417.323mil   2110.236mil  T         90.00 220uF          
C262       SMD_1210_CAPC3225X279N   2755.905mil   2169.291mil   2755.905mil   2169.291mil   2755.905mil   2110.236mil  T         90.00 220uF          
C261       SMD_1210_CAPC3225X279N   2913.386mil   2169.291mil   2913.386mil   2169.291mil   2913.386mil   2110.236mil  T         90.00 220uF          
C260       SMD_1210_CAPC3225X279N   3082.677mil   2688.976mil   3082.677mil   2688.976mil   3141.732mil   2688.976mil  T        180.00 220uF          
C26        SMD_0603_CAPC1608X95N   2354.782mil   3096.051mil   2354.782mil   3096.051mil   2323.286mil   3096.051mil  T          0.00 100nF          
C259       SMD_1210_CAPC3225X270N    2736.22mil   3755.905mil    2736.22mil   3755.905mil   2677.165mil   3755.905mil  T          0.00 100uF          
C258       SMD_1210_CAPC3225X270N    2736.22mil   3598.425mil    2736.22mil   3598.425mil   2677.165mil   3598.425mil  T          0.00 100uF          
C257       SMD_0603_CAPC1608X95N   3090.551mil   3299.213mil   3090.551mil   3299.213mil   3090.551mil   3267.716mil  T         90.00 220nF          
C232       SMD_0603_CAPC1608X95N   2582.677mil    893.701mil   2582.677mil    893.701mil   2582.677mil    862.205mil  T         90.00 100nF          
