"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C9P_8","SMD_1210_CAPC3225X279N","122.6mm","100.3255mm","122.6mm","100.3255mm","124.1mm","100.3255mm","T","180.00","22uF/16V"
"C10P_5","SMD_1210_CAPC3225X279N","122.6mm","145mm","122.6mm","145mm","121.1mm","145mm","T","360.00","22uF/16V"
"C10P_6","SMD_1210_CAPC3225X279N","122.6mm","129mm","122.6mm","129mm","121.1mm","129mm","T","360.00","22uF/16V"
"C10P_7","SMD_1210_CAPC3225X279N","122.6mm","113mm","122.6mm","113mm","121.1mm","113mm","T","360.00","22uF/16V"
"C10P_8","SMD_1210_CAPC3225X279N","122.6mm","97.1mm","122.6mm","97.1mm","121.1mm","97.1mm","T","360.00","22uF/16V"
"C11P_1","SMD_1210_CAPC3225X279N","127.4mm","103.5mm","127.4mm","103.5mm","128.9mm","103.5mm","T","180.00","22uF/16V"
"C11P_2","SMD_1210_CAPC3225X279N","127.4mm","122.6mm","127.4mm","122.6mm","128.9mm","122.6mm","T","180.00","22uF/16V"
"C11P_3","SMD_1210_CAPC3225X279N","122.5999mm","122.6009mm","122.5999mm","122.6009mm","121.0999mm","122.6009mm","T","360.00","22uF/16V"
"C11P_4","SMD_1210_CAPC3225X279N","127.4mm","145mm","127.4mm","145mm","128.9mm","145mm","T","180.00","22uF/16V"
"C11P_5","SMD_1210_CAPC3225X279N","122.6mm","151.4mm","122.6mm","151.4mm","121.1mm","151.4mm","T","360.00","22uF/16V"
"C11P_6","SMD_1210_CAPC3225X279N","127.4mm","125.8mm","127.4mm","125.8mm","125.9mm","125.8mm","T","360.00","22uF/16V"
"C11P_7","SMD_1210_CAPC3225X279N","122.5999mm","103.5011mm","122.5999mm","103.5011mm","121.0999mm","103.5011mm","T","360.00","22uF/16V"
"C11P_8","SMD_1210_CAPC3225X279N","122.6mm","90.7mm","122.6mm","90.7mm","121.1mm","90.7mm","T","360.00","22uF/16V"
"C12P_1","SMD_1210_CAPC3225X279N","127.4001mm","93.8992mm","127.4001mm","93.8992mm","128.9001mm","93.8992mm","T","180.00","22uF/16V"
"C12P_2","SMD_1210_CAPC3225X279N","127.4001mm","119.3991mm","127.4001mm","119.3991mm","128.9001mm","119.3991mm","T","180.00","22uF/16V"
"C12P_3","SMD_1210_CAPC3225X279N","122.6mm","119.3991mm","122.6mm","119.3991mm","121.1mm","119.3991mm","T","360.00","22uF/16V"
"C12P_4","SMD_1210_CAPC3225X279N","127.4mm","141.8mm","127.4mm","141.8mm","128.9mm","141.8mm","T","180.00","22uF/16V"
"C12P_5","SMD_1210_CAPC3225X279N","122.6mm","141.8mm","122.6mm","141.8mm","121.1mm","141.8mm","T","360.00","22uF/16V"
"C12P_6","SMD_1210_CAPC3225X279N","122.6mm","125.8mm","122.6mm","125.8mm","124.1mm","125.8mm","T","180.00","22uF/16V"
"C12P_7","SMD_1210_CAPC3225X279N","122.6mm","93.9mm","122.6mm","93.9mm","121.1mm","93.9mm","T","360.00","22uF/16V"
"C12P_8","SMD_1210_CAPC3225X279N","127.4mm","90.7mm","127.4mm","90.7mm","128.9mm","90.7mm","T","180.00","22uF/16V"
"U1_1","SMD_BGA900C80P30X30_2500X2500X240_-__FANOUT","45mm","205mm","45mm","205mm","56.6mm","193.4mm","T","180.00","Minion BGA"
"U1_2","SMD_BGA900C80P30X30_2500X2500X240_-__FANOUT","205mm","205mm","205mm","205mm","193.4mm","193.4mm","T","90.00","Minion BGA"
"U1_3","SMD_BGA900C80P30X30_2500X2500X240_-__FANOUT","205mm","45mm","205mm","45mm","193.4mm","56.6mm","T","0.00","Minion BGA"
"U1_4","SMD_BGA900C80P30X30_2500X2500X240_-__FANOUT","45mm","45mm","45mm","45mm","56.6mm","56.6mm","T","270.00","Minion BGA"

